Mã phòng,Giảng đường,Sức chứa,Loại phòng
A101,A,24,Phòng thường
A102,A,24,Phòng thường
A104,A,24,Phòng thường
A105,A,24,Phòng thường
A106,A,24,Phòng thường
A107,A,24,Phòng thường
A108,A,24,Phòng thường
A201,A,24,Phòng thường
A202,A,24,Phòng thường
A203,A,24,Phòng thường
A204,A,24,Phòng thường
A205,A,24,Phòng thường
A206,A,24,Phòng thường
A207,A,24,Phòng thường
A208,A,24,Phòng thường
A301,A,24,Phòng thường
A302,A,24,Phòng thường
A303,A,24,Phòng thường
A304,A,24,Phòng thường
A305,A,24,Phòng thường
A306,A,24,Phòng thường
A307,A,24,Phòng thường
A308,A,24,Phòng thường
C201,C,60,Phòng máy
C202,C,60,Phòng máy
C203,C,60,Phòng máy
C204,C,60,Phòng máy
C205,C,60,Phòng máy
C206,C,60,Phòng máy
C207,C,60,Phòng máy
C208,C,60,Phòng máy
C301,C,60,Phòng máy
C302,C,60,Phòng máy
C303,C,60,Phòng máy
C304,C,60,Phòng máy
C305,C,60,Phòng máy
C306,C,60,Phòng máy
